Phase,Task ID,Task Title,Priority,Description,Completion Status,Tags,Problem ID,Problem Title,Risk Rating,Business Unit,Application,Project,Project Attributes,Issue Tracker Tickets,Why is this Countermeasure included?
Testing,T311,Verify that sensitive data is not sent using implicit Intents or Broadcasts,6,"Any application can register to accept Android implicit Intents and broadcasts. This is done by declaring to handle them through defining intent filters in the Android manifest file. Making wrong assumptions about the channel end-point creates an opportunity for an unauthorized receiver to access sensitive data if it is sent using these methods.

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/923
) - http://cwe.mitre.org/data/definitions/927
) - http://cwe.mitre.org/data/definitions/941
)

Consult developers to find parts of the application that handle and send sensitive data to other applications or components. For each instance:

- Verify that only explicit intents that specify the class or component of the receiver are used to send sensitive information.

- Verify that your application does not broadcast sensitive information.
    - Avoid Sticky broadcasts in particular because they cannot be protected by permissions.

- If you broadcast between your own applications:
    - Verify that all broadcasts are protected by using permissions, and the protection level of the permission is set to signature. This way, it is only available to your own applications.

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T311/",Incomplete,,P738,Insufficient Restriction of Intent Receivers in Android,6,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• Platform and Language > Platform/Operating System > Platform > Android AND
• New transactions / use cases (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• Platform and Language > Platform/Operating System > Platform > Android AND
• New transactions / use cases (Hidden Answer) AND
• Changes to inbound/outbound interfaces (Hidden Answer)"
Testing,T82,Test authentication error consistency,5,"If an error message is too descriptive or response times are different for different inputs during __authentication__, __new account creation__, or __password recovery__, it can expose account details. For example, a detailed error message or response time discrepancy can tell an attacker if a username is already in use, or if a password for a given user is incorrect. These exposures can be accidental (bug), or intentional (design), and lead to user-enumeration.

User-enumeration is the process of obtaining a list of valid user accounts by exploiting the authentication features of an application. This list can be used for unauthorized account access, or valid account lockout (denial of service attack, DoS attack).

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/204
)

Test the security of your authentication for consistency by using the following steps:

1. Attempt to log in with an invalid username. 

2. Inspect the response and cookies. 

3. Attempt to log in with a valid username, but invalid password.

4. Inspect the response and returned cookies.

    If the application displays a **personal phrase or image**:

5. Attempt to submit 10 consecutive different usernames.

This test __fails__ if any of the following are true:

- The two responses from steps 2 and 4 are different.
- The structure or length of the cookies from steps 2 and 4 are different.
- After step 5, you do not see an **anti-automation** feature, such as a CAPTCHA.

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T82/",Incomplete,,P100,Response Discrepancy Information Exposure,5,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• Changes to authentication (Hidden Answer) AND
• Features and Functions > Authentication > Authentication Features > Has direct or third party authentication for end users, devices or nodes"
Development,T441,Ask for Android permissions at runtime,4,"If Android permissions are not managed properly (and not asked for at the right time), there are chances that:

1. The application asks for too many permissions and users withdraw from installing the application altogether.
2. The application does not provide enough justification to convince users to grant the permissions.
3. The application fails to operate properly because of missing permissions.

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/264
)

For your application to run on Android Marshmallow and later, ask for permissions at runtime and do not assume that you have permissions after installation.

Use the following guidelines:

- Declare the required permissions in the Manifest file.
    - For more information, see [Add Permissions to the Manifest](http://developer.android.com/training/permissions/declaring.html#perm-add).

- Call `ContextCompat.checkSelfPermission()` at runtime to check if your application has a specific permission.
    - For more information, see [Requesting Permissions at Run Time](http://developer.android.com/training/permissions/requesting.html).

- Provide some justification for asking for specific permissions in a customized window when required.
    - To know if you need to provide more explanation, use the `shouldShowRequestPermissionRationale()` method.
    - The method returns `true` if the app has requested a permission previously but it has been denied, which shows the user needs more explanation, and returns `false` if ""Don't ask again"" is checked by the user.
    - Display the information asynchronously, and do not block the main thread.

- Override the `onRequestPermissionsResult()` method to handle the result of permission requests.
    - Avoid any action that requires the requested permission if it is denied.

- Develop the application in a way that works with any combination of permissions and does not crash.

__Note__: 

- In Android O, the app is only given the runtime permissions it has explicitly requested.
    - However, when the user gives a permission to the app, all subsequent requests for permissions in that __permission group__ are automatically granted.
    - For example, if you request the `SEND_SMS` permission from the SMS permission group, then Android does not prompt the user for `READ_SMS`, which is in the same group, when required if it is listed in the manifest file.
    - Previously, a bug in Android O allowed the system to grant the app the rest of the permissions in the same permission group registered in the manifest file when the app received a permission at runtime. This error is fixed.

__Note__: To get the hardware ID of other devices around you through Bluetooth and Wifi, you need `ACCESS_FINE_LOCATION` or `ACCESS_COARSE_LOCATION` permissions in Android Marshmallow and later. This is because with the widespread use of beacons with location information, it will be possible to trace the device using Bluetooth and Wifi scanners.

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T441/",Incomplete,,P778,Lacking proper strategy for management of Android permissions,4,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• Platform and Language > Platform/Operating System > Platform > Android AND
• New transactions / use cases (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• Platform and Language > Platform/Operating System > Platform > Android AND
• New/modified user input OR changes to how user input is used (Hidden Answer)"
Testing,T563,"Test that critical functions of Android applications are not affected by Doze, Standby and battery saving limitations",2,"The Android operating system limits the resources available to applications in power-saving modes, such as Standby and Doze. If the application has time-critical operations, or if it cannot safely recover from such modes, critical functions of the application can be threatened, especially those that need to be triggered at specific times.

Follow these instructions to test that critical functions of the application are not negatively affected by Doze, Standby, and other battery saving limitations:

- Identify the time-critical functionalities of the app.
    - You may need to consult with developers.
    - Pay special attention to functions that need network connection (especially notifications), or the ones that depend on AlarmManager.

- Use `adb` to simulate Doze and Standby modes.
    - For detailed instructions, see the Android documentation on [Optimizing with Doze and App Standby](https://developer.android.com/training/monitoring-device-state/doze-standby.html#testing_doze_and_app_standby).

- Test that the app gracefully recovers from Doze and Standby modes.

- Test that the functions are not affected or delayed by those modes if the delay is not acceptable.

- Test that if the application needs to work in the background with no active components, the battery saving limitations do not block the critical functionalities.

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T563/",Incomplete,,P802,Negative impact of Doze/Standby/Battery Saving Modes on Time-critical Functions of Android Applications,2,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• Platform and Language > Platform/Operating System > Platform > Android AND
• New transactions / use cases (Hidden Answer)"
Requirements,T59,Use standard libraries for cryptography,8,"Using a non-standard algorithm or an algorithm with wrong parameters is unsafe because a determined attacker may be able to break it and compromise data. Moreover, techniques to break these algorithms may be well-known and widely available.

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/325
) - http://cwe.mitre.org/data/definitions/327
) - http://cwe.mitre.org/data/definitions/934
) - http://cwe.mitre.org/data/definitions/1240
) - http://cwe.mitre.org/data/definitions/1279
)

Never try to develop a homemade cryptographic algorithm or write a new implementation of a known algorithm. Only use tested implementations for encryption, digital signature generation and verification, and other cryptographic algorithms. 

Cryptanalysis is the study of breaking cryptographic algorithms. Cryptanalysts are usually mathematicians who try to break the underlying mathematics or look for implementation faults. As a result, application security must always rely on known and secure algorithms. Real-world implementations often suffer from subtle errors, such as attackers being able to determine the size of a key based on how long the encryption process takes.

### Using native cryptography libraries in Android NDK

In Android 7.0 you can only use public native NDK APIs and you cannot dynamically link against private native non-NDK platform libraries. You should also make sure that third party native libraries used in your application do not call such private native platform libraries. For more information, see [Android 7.0 Behavior Changes](https://developer.android.com/about/versions/nougat/android-7.0-changes.html#ndk).

In general, avoid using native cryptographic libraries that are not part of public native NDK APIs including a platform's native OpenSSL or BoringSSL cryptography libraries such as libssl.so or libcrypto.so. Instead, include a reliable native cryptography library of your choice in your application's package and call the native cryptography functions through Java Native Interface (JNI), or take advantage of GMS Security Provider from Google for better results.

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T59/",Incomplete,,P224,Use of weak cryptographic algorithms or unsecure algorithm practices,7,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• The application handles confidential or sensitive data (Hidden Answer) AND
• New/modified user input OR changes to how user input is used (Hidden Answer)"
Development,T72,Use safe arithmetic to avoid integer overflow,7,"The application performs a calculation that can produce an integer overflow or underflow. This can happen when an application's logic assumes that a resulting value will always be larger or smaller than the original value. This can lead to other weaknesses because the size of the buffer is incorrectly calculated, such as a buffer overflow.

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/128
) - http://cwe.mitre.org/data/definitions/190
) - http://cwe.mitre.org/data/definitions/191
)

Arithmetic operations on numeric primitives such as integers, shorts, and longs may be vulnerable to overflow. For example, if you add two large positive integers the result may be negative. The inverse is true for negative numbers.

Other operations such as subtraction, multiplication, division, and exponents can be vulnerable as well. This is of particular concern if you use at least one untrusted number in an operation, such as a user-supplied number.

To avoid overflow, you can cast one of the operands or the result to a primitive with more bits. For example, you can cast a **short to an int** or an **int to a long** in most languages. Alternatively, you can use logical checks to test for overflow. 

Assuming o1 is operand 1, o2 is operand 2, and r is the result, you use the following checks:  

 * For o1 * o2 = r, check that r / o2 = o1  
 * For o1 ^ o2 = r, check that log r base o2 = o1  
 * For o1 + o2 = r, check that r > 0  
 * For o1 + o2 = r:
    - If o1 and o2 are both positive, then check that r > 0
    - If o1 and o2 are both negative then check that r < 0

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T72/",Incomplete,,P87,Integer Wraparound,7,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• Susceptible to integer overflow (Hidden Answer) AND
• New/modified user input OR changes to how user input is used (Hidden Answer)"
Activities,T1385,Institute secure logging and event monitoring,8,"There are no processes for logging and/or monitoring or the existing processes are simply not adequate. Logs are the fundamental elements for forensics and the tool for discovering what has gone wrong. They are also used for accountability purposes and are particularly useful in insider attacks.

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/1036
)

Follow these guidelines to establish and execute a process for logging and monitoring security events:

1. Define audit log categories and configure the audit policies accordingly.
2. Centralize the logs using automatic consolidation. Centralization and consolidation require technical configuration for synchronizing system clocks.
3. Keep the logs in two formats: flat text file and log database file. Flat text files are easily compressible and ideal for archiving.
4. Configure policies to set up real-time alerts and notifications for monitoring, such as Windows event logs for Windows systems and Syslogs for Nix systems.
5. Adopt a methodology for continuous log monitoring by defining the frequency with which you want to check logs. Once a log is found with a suspicious pattern, an alert or notification must be issued.
6. Generate reports for [key stakeholders](/library/glossary/G64/).
7. Restrict the access to logs based on the [need-to-know principle](/library/glossary/G95/).
8. Retain log files for a responsible amount of time (decide how long to keep log files based on business needs and regulation compliance).

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T1385/",Incomplete,,P1183,No secure processes for logging and monitoring events,8,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• NOT Critical (Hidden Answer) AND
• NOT High (Hidden Answer) AND
• NOT Medium (Hidden Answer) AND
• NOT Low (Hidden Answer) AND
• NOT Very Low (Hidden Answer) AND
• NOT Unclassified (Hidden Answer) AND
• Changes to processes/activities (Hidden Answer) AND
• Application General > Context and Characteristics > Application's Context and Characteristics > Include general countermeasures in the Activity phase (process engineering tasks) in this project"
Activities,T1388,Triage and fix vulnerabilities discovered during automated and manual security tests,10,"Not addressing the findings from both automated and manual test results causes the potential vulnerabilities remain unfixed and make the whole system unsecure and vulnerable to all kinds of attacks.

Follow these guidelines to consistently triage and remediate software vulnerabilities:

1. Consistently resolve security weaknesses identified during the testing processes (e.g., manual, SAST, DAST, Penetration testing, etc.).
2. Record all security vulnerabilities details identified by manual and automated testing. 
3. Assess vulnerabilities for risk and impact following a common measuring method such as [CVSS (Common Vulnerability Scoring System)](https://nvd.nist.gov/vuln-metrics/cvss) if possible.
4. Prioritize all vulnerabilities based on their assessed risk, and assign a designated owner for remediation.
5. Track all vulnerabilities until remediation, and test before being closing them.

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T1388/",Incomplete,,P1225,Unmanaged test result findings,10,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• NOT Critical (Hidden Answer) AND
• NOT High (Hidden Answer) AND
• NOT Medium (Hidden Answer) AND
• NOT Low (Hidden Answer) AND
• NOT Very Low (Hidden Answer) AND
• NOT Unclassified (Hidden Answer) AND
• Changes to processes/activities (Hidden Answer) AND
• Application General > Context and Characteristics > Application's Context and Characteristics > Include general countermeasures in the Activity phase (process engineering tasks) in this project"
Testing,T315,Verify that potential security-critical events are logged,5,"When security-critical events are not logged properly, or when the logs are unreliable, malicious behavior can be more difficult to detect and may hinder forensic analysis after a successful attack. 

For example, failed login attempts should always be logged, and logs are unreliable if they can be modified or deleted without authorization.

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/778
)

Verify that security-specific logs are created in case of potential malicious activities, and that they consist of enough information:

For a majority of applications, especially web applications, include these data items in the logs (if relevant and applicable):

* AE2 Multiple Failed Passwords
* IE2 Violations Of Implemented White Lists
* ACE2 Modifying Parameters Within A POST For Direct Object Access Attempts
* ACE3 Force Browsing Attempts
* ACE4 Evading Presentation Access Control Through Custom Posts

Verify that a consistent time reference is used among logging module, database, application and any other systems using or examining the logs.

Verify that these events and detection points are logged (if possible and relevant):

* RE1 Unexpected HTTP Commands
* RE2 Attempts To Invoke Unsupported HTTP Methods
* RE3 GET When Expecting POST
* RE4 POST When Expecting GET
* AE1 Use Of Multiple Usernames
* AE3 High Rate Of Login Attempts
* AE4 Unexpected Quantity Of Characters In Username
* AE5 Unexpected Quantity Of Characters In Password
* AE6 Unexpected Types Of Characters In Username
* AE7 Unexpected Types Of Characters In Password
* AE8 Providing Only The Username
* AE9 Providing Only The Password
* AE10 Adding Additional POST Variables
* AE11 Removing POST Variables
* SE1 Modifying Existing Cookies
* SE2 Adding New Cookies
* SE3 Deleting Existing Cookies
* SE4 Substituting Another User's Valid Session ID Or Cookie
* SE5 Source IP Address Changes During Session
* SE6 Change Of User Agent Mid Session
* ACE1 Modifying URL Arguments Within A GET For Direct Object Access Attempts
* IE1 Cross Site Scripting Attempt
* EE1 Double Encoded Characters
* EE2 Unexpected Encoding Used
* CIE1 Blacklist Inspection For Common SQL Injection Values
* CIE2 Detect Abnormal Quantity Of Returned Records.
* CIE3 Null Byte Character In File Request
* CIE4 Carriage Return Or Line Feed Character In File Request
* FIO1 Detect Large Individual Files
* FIO2 Detect Large Number Of File Uploads
* UT1 Irregular Use Of Application
* UT2 Speed Of Application Use
* UT3 Frequency Of Site Use
* UT4 Frequency Of Feature Use
* STE1 High Number Of Logouts Across The Site
* STE2 High Number Of Logins Across The Site
* STE3 High Number Of Same Transaction Across The Site

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T315/",Incomplete,,P619,Insufficient Logging or Insufficient Protection of Logs,4,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• Requires security logging (Hidden Answer) AND
• New transactions / use cases (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• The application is a generic server application (Hidden Answer) AND
• New transactions / use cases (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• The application is a generic server application (Hidden Answer) AND
• Changes to servers/frameworks and/or configuration (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• The application is a generic server application (Hidden Answer) AND
• New/modified user input OR changes to how user input is used (Hidden Answer)"
Testing,T87,Verify that all data in transit is encrypted using a secure TLS channel,8,"Many communication channels can be sniffed, or eavesdropped on, by attackers during data transmission. For example, unencrypted network traffic in clear text can be sniffed by any attacker who has access to a network interface. This makes unsecured communication channels easy for attackers to exploit.

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/311
) - http://cwe.mitre.org/data/definitions/319
) - http://cwe.mitre.org/data/definitions/930
) - http://cwe.mitre.org/data/definitions/934
) - http://cwe.mitre.org/data/definitions/1028
) - http://cwe.mitre.org/data/definitions/1029
)

Use a network monitoring tool to ensure that data in transit is sent over a secure TLS channel:

- Use a tool such as Wireshark or Ethereal. Focus on testing the authentication and post-authenticated processes. This test __fails__ if any of the network traffic transmits clear text data.

Attempt to connect to all SSL/TLS enabled interfaces (all available IP/Port). For each connection:

- This test __fails__ if SSLv1, SSLv2, or SSLv3 are offered as negotiable protocols.

- List all available ciphers:
    - If any NULL, or EXT (Export) ciphers are available, then the test __fails__.
    - The server must explicitly disallow EXPORT ciphers (which are weak ciphers) even if the client does not request it.

- This test __fails__ if any DES ciphers are offered.

- This test __fails__ if TLS Compression is enabled/offered.
    - This is due to the CRIME side channel attack vulnerability (compression ratio info-leak made easy, see [CRIME Attack Vector](/library/glossary/G10/)).

- Offer multiple ciphers to a server and check if it picks the more secure ciphers over less secure ones.
    - Specifically, verify that the server uses __SHA384/SHA256 instead of SHA1__, and __SHA2 family of ciphers instead of MD5-based ciphers__.

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T87/",Incomplete,,P216,Clear Text and Unencrypted Transmission of Information,7,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• The application is a generic server application (Hidden Answer) AND
• New transactions / use cases (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• The application is a generic server application (Hidden Answer) AND
• Changes to inbound/outbound interfaces (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• The application is a generic server application (Hidden Answer) AND
• Changes to servers/frameworks and/or configuration (Hidden Answer)"
Testing,T323,Test that default accounts are disabled or default passwords are changed,9,"Third party systems such as servers and libraries may have default passwords and accounts associated with them. Users may be able to use these default accounts to authenticate into those systems.

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/276
)

Use the following guidelines to test that default passwords are changed or default accounts are disabled:

- Identify all third party libraries/software that are used by your application and their default accounts.

- Identify all default user accounts that are created by your application.

- Test that accounts that are unnecessary after installation/deployment are deleted or disabled.
    - Work with system administrators to check if those accounts are removed.
    - This test __fails__ if these accounts are not removed.

- Test the default passwords for third party library/software or application accounts.

- This test __fails__ if any of the default passwords work.
    - There are some cases in which permitting the use of default passwords could be acceptable.
    - For example, a wireless modem may be shipped with a default admin username and password.

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T323/",Incomplete,,P693,Use of Default Passwords and Accounts,9,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• Features and Functions > Authentication > Requires Server-to-Server Authentication > Yes AND
• Changes to servers/frameworks and/or configuration (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• Features and Functions > Authentication > Authentication Features > Authentication Method > Uses passwords AND
• Changes to authentication (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• Has authentication (Hidden Answer) AND
• Changes to authentication (Hidden Answer)"
Requirements,T35,Fine-tune HTTP server settings,9,"The number, or size, of a system's resources is not controlled, which allows an attacker to cause a denial of service (DoS) attack that consumes all available resources. This happens when the attacker can trigger an allocation of limited resources, such as memory, file system storage, database connection pool entries, and CPU.

A resource exhaustion attack such as this prevents legitimate users from accessing the application, and could potentially impact the surrounding environment. For example, a memory exhaustion attack could slow down not only the application itself, but also its host operating system.

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/400
)

Set limits on incoming HTTP messages, and notify designated administrator roles of a violation.

# HTTP request headers and bodies

Limit the __number__ and __length__ of HTTP request __headers__ and __bodies__ accepted from the clients to a minimum. Set tighter endpoint-specific restrictions depending on their function to minimize the attack surface.

Limit the following request attributes:

- Request body size
- Number of request header fields
- Request header fields size
- Request line size
- XML request body size

# Server timeout

Tune the connection __timeout__ settings of the server. A higher connection timeout gives the server more time to engage with the application. This increases the likelihood for various types of server attacks, such as [Slowloris](http://en.wikipedia.org/wiki/Slowloris_%28software%29).

__Note:__ A small value may introduce issues with the legitimate users with slow connections. Set timeout values based on your normal connection statistics.

Tune the following timeout settings:

- Request read timeout
- Keep-alive timeout

# Server connections and backlog capacity

Tune the maximum number of __simultaneous connections__, and increase the capacity of the backlog of pending connections where possible.

__Note:__ The backlog prolongs a denial of service (DoS) attack because it holds incomplete requests (including malicious ones), but reduces the impact of small attacks.

Most web and application servers provide a configuration option for each of these limits. See the server-specific documentation, and review your application needs when adjusting each of these settings.

## Considerations

The meaning of ""reasonable"" varies according to a system's available resources and an application's features and needs. Consider the following:

- A maximum URL size of 2000 characters is considered reasonable and supported by most browsers. 
    - Smaller values (256) might interfere with features such as single sign-on.

- While a 1 MB limit on HTTP request sizes is reasonable for most applications, it might restrict file upload speeds where applicable.

- Maximum number of concurrent connections:
    - Carefully review the operational environment, hardware, and software resources, such as system memory available to the HTTP server.
    - There is no common value that works for all environments.

- Decreasing the keep-alive time-out might have a small performance impact. 
    - A value above 60 seconds is not recommended according to [Apache Performance Tuning](http://httpd.apache.org/docs/2.2/misc/perf-tuning.html).

For more information about web server security, see [Apache Security Tips](http://httpd.apache.org/docs/trunk/misc/security_tips.html).

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T35/",Incomplete,,P293,Uncontrolled Resource Consumption (Resource Exhaustion),6,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• Protocols > Application Layer > Application Layer Protocols Used > Uses an HTTP-based protocol AND
• The application is a generic server application (Hidden Answer) AND
• Changes to servers/frameworks and/or configuration (Hidden Answer)"
Development,T46,Do not log confidential data,4,"Logging all information may be helpful during development stages, but logging levels be set appropriately before a product ships. This prevents sensitive user data and system information from being accidentally exposed to potential attackers.

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/532
)

Use the following guidelines for logging confidential data:

__Never log confidential data__

- Instead, log a hash, or the last few digits of confidential numbers, such as with credit card numbers.
    - Confidential data includes passwords, credit card numbers, social security, and social insurance numbers.
    - Developers often log these items as part of the debugging process and may forget to remove them before deploying to production. 

__Never log passwords__

* Consider logging the user ID as a means of user identification.
* If absolutely necessary for debugging, create separate test code in development to log the test password that will not be deployed to production.

__Never log personally identifiable information (PII)__

* To log PII securely, anonymize it with hashing, or using auto-enumerated database IDs.
    * PII includes email, address, date of birth, and health data. 
    * Once secured, if the related account is removed, its log data can no longer be associated with a specific person, and will not disclose any private data.

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T46/",Incomplete,,P420,Information Leak Through Log Files,4,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• The application handles confidential or sensitive data (Hidden Answer) AND
• New transactions / use cases (Hidden Answer) AND
• Features and Functions > More Features > Miscellaneous > Performs diagnostic/debug logging"
Development,T64,Set no-cache for confidential web pages,4,"The application must have a caching policy that defines to what extent its web pages and form fields should be cached.

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/525
)

Use the following guidelines for setting ""no-cache"" and ""no-store"" on web pages:

- Enable the ""no-cache"" and ""no-store"" settings for HTTP headers in all confidential pages.
- This prevents browsers from caching confidential data, which another user on the same computer could view later.

Set the following HTTP headers:

    Pragma: no-cache
    Cache-Control: no-cache, no-store, max-age=0, must-revalidate
    Expires: -1

**Note:** To protect against [Web Cache Deception attack](http://omergil.blogspot.com/2017/02/web-cache-deception-attack.html):

- Make sure that the caching services you use obey the Cache-Control headers and do not cache unexpected resources.
- Configure your website to reject requests with trailing pathname information that follows a non-existent file in an existing directory or an actual filename.
    - For example, reject requests with a path similar to `https://www.sdelements.com/dashboard/style.css` if you are not serving the file at this path.

## The misconception between no-store and no-cache

- For HTTP 1.1, the cache-control directive ""no-store"" must be set. 
- ""No-cache"" on its own tells the browser that it should revalidate with the server before serving the page from the cache.
    - As a result, if ""no-cache"" is set without ""no-store"", the browser can still store the page in its cache, but would only display it after revalidating it with the server.
    - This would cause unwanted storage and leakage of confidential data.

- Newer versions of Internet Explorer and Firefox have started treating the ""no-cache"" directive as if it instructs the browser to not even cache the page because of how frequently ""no-cache"" was misused.
    - It is __strongly advised__ to set the ""no-store"" directive.

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T64/",Incomplete,,P412,Information Leak Through Browser Caching,4,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• Protocols > Application Layer > Application Layer Protocols Used > Uses an HTTP-based protocol AND
• The application is a generic server application (Hidden Answer) AND
• Changes to user output (Hidden Answer)"
Activities,T1371,Use a software security management solution to select and track security controls,10,"Lack of a process for managing software security can result in having number of untracked security issues that can compromise a system. In order to manage and track security controls, it is necessary to use a software security management solution.

Follow these guidelines to monitor, track, and manage known software vulnerabilities:

1. Document a security standard to mandate software vulnerability management as a requirement to track and manage software vulnerabilities until they are fully remediated, and get it reviewed and approved by management. The standard must specify the need to test business applications regularly.
2. Document a software vulnerability management process explaining the approach used to test applications, with an assigned owner responsible for its completeness, currency, and ongoing execution. Explain the method(s) used to identify vulnerabilities (e.g., code reviews, software testing, penetration testing, quality control) as well as software re-testing and publication.
3. Perform vulnerability testing using automated scanning software or a commercial vulnerability scanning service. Testing should be run regularly based on a combination of code reviews, dynamic and static analysis tests.
4. Ensure that only a limited number of authorized individuals can execute vulnerability scans, and that tests are monitored to identify misuse and help detect unauthorized testing.
5. Set priorities and timelines for remediating all significant vulnerabilities based on their [criticality of software vulnerabilities](/library/glossary/G72/).
6. Select one or more support tools to assist with the software vulnerability management process. 
7 .Establish and follow a [software vulnerability remediation process](/library/glossary/G71/) to ensure that vulnerabilities are fixed in a consistent manner.
8. Set compensating controls to protect information in the event a vulnerability cannot be fixed (e.g., by adding additional access controls or performing detailed monitoring).

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T1371/",Complete,,P1188,Lack of software security management solution to track security controls,10,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• NOT Critical (Hidden Answer) AND
• NOT High (Hidden Answer) AND
• NOT Medium (Hidden Answer) AND
• NOT Low (Hidden Answer) AND
• NOT Very Low (Hidden Answer) AND
• NOT Unclassified (Hidden Answer) AND
• Changes to processes/activities (Hidden Answer) AND
• Application General > Context and Characteristics > Application's Context and Characteristics > Include general countermeasures in the Activity phase (process engineering tasks) in this project"
